period,client_id,region,target_turnover_rate,target_utilization_rate,target_cost,target_billable_hours
2026-01,C001,latam,0.0205,0.8086,322642.43,6410
2026-01,C001,NA,-0.05,0.7684,411175.83,3455
2026-01,C001,Europe,0.0681,0.8336,293517.97,3327
2026-01,C001,APAC,0.056,0.8297,283777.28,3220
2026-01,C002,latam,0.0457,0.7866,224553.48,3479
2026-01,C002,North America,0.0692,0.7386,207959.34,2606
2026-01,C002,EMEA,0.0572,0.8613,349859.86,4558
2026-01,C002,APAC,0.0796,0.7263,249599.8,6019
2026-01,C003,Latin America,0.0536,0.746,306154.2,4967
2026-01,C003,NA,0.0534,0.8232,350737.13,4869
2026-01,C003,Europe,0.0606,0.7683,266511.27,3271
2026-01,C003,APAC,0.0695,0.7372,318171.52,4917
2026-01,C004,LATAM,0.0508,0.7312,232069.96,3814
2026-01,C004,North America,0.0779,0.8363,347085.68,2885
2026-01,C004,Europe,0.0775,0.7574,283449.15,6033
2026-01,C004,Asia-Pacific,0.0439,0.7286,252094.28,6291
2026-01,C005,LATAM,0.0747,0.7336,385981.82,3391
2026-01,C005,north america,0.0529,0.8101,328411.36,6136
2026-01,C005,Europe Middle East Africa,0.0676,0.7967,188583.53,5830
2026-01,C005,APAC,0.0267,0.8355,367613.17,2593
2026-01,C006,Latam,0.0363,0.8478,322184.09,4260
2026-01,C006,NA,0.0775,0.7323,394647.81,4444
2026-01,C006,Europe,0.0407,0.8522,299023.56,3920
2026-01,C006,Asia-Pacific,0.0292,0.8332,336724.51,3122
2026-01,C007,Latam,0.0245,0.7804,359132.67,2981
2026-01,C007,North America,0.0216,0.7513,299391.15,5131
2026-01,C007,Europe Middle East Africa,0.0637,0.7349,413380.75,5251
2026-01,C007,Asia-Pacific,0.0786,0.7288,364930.37,5326
2026-01,C008,latam,0.0786,0.8754,408985.53,5611
2026-01,C008,north america,0.0567,0.8576,229385.82,4238
2026-01,C008,Europe,0.0722,0.7236,262888.8,4988
2026-01,C008,Asia Pacific,0.0442,0.8156,380951.41,4125
2026-01,C009,latam,0.0612,0.7593,351771.23,5636
2026-01,C009,NA,0.0331,0.7938,187026.76,2942
2026-01,C009,Europe Middle East Africa,0.0609,0.8037,182136.61,2608
2026-01,C009,Asia-Pacific,0.0497,0.8661,245843.58,2698
2026-01,C010,latam,0.0319,0.7492,251578.68,5958
2026-01,C010,NA,0.0679,0.785,393492.57,5687
2026-01,C010,Europe,0.0376,0.8611,310010.72,4655
2026-01,C999,Asia-Pacific,0.0316,0.86,221063.88,4417
2026-01,C011,Latin America,0.056,0.7208,318664.76,3263
2026-01,C011,NA,-0.05,0.8623,399200.21,5934
2026-01,C011,Europe Middle East Africa,0.0285,0.7798,406932.14,5542
2026-01,C011,Asia Pacific,0.0414,0.8798,207016.73,5040
2026-01,C999,LATAM,0.0736,0.8728,367613.52,6447
2026-01,C012,NA,0.0752,0.8031,219622.36,5576
2026-01,C012,EMEA,0.0457,0.8068,398130.16,4743
2026-01,C012,Asia-Pacific,0.0493,0.7834,315022.15,5100
2026-02,C001,Latam,0.0287,0.7585,184078.55,3557
