period,employee_id,client_id,project_id,available_hours,worked_hours,billable_hours,non_billable_hours,overtime_hours
2026-01,E0481,C006,P022,160.0,153,113,40,0
2026-01,E0266,C001,P018,160.0,191,170,21,31
2026-01,E0044,C010,P003,160.0,122,112,10,0
2026-01,E0231,C006,P004,160.0,157,140,17,0
2026-01,E0104,C009,P022,160.0,111,103,8,0
2026-01,E0490,C011,P035,160.0,190,172,18,30
2026-01,E0149,C009,P002,160.0,174,164,10,14
2026-01,E0160,C001,P021,160.0,133,92,41,0
2026-01,E0478,C001,P016,160.0,102,95,7,0
2026-01,E0037,C009,P009,160.0,178,160,18,18
2026-01,E0123,C004,P020,160.0,142,109,33,0
2026-01,E0339,C008,P001,160.0,175,128,47,15
2026-01,E0277,C007,P004,160.0,145,127,18,0
2026-01,E0208,C003,P002,160.0,146,136,10,0
2026-01,E0455,C002,P024,160.0,133,104,29,0
2026-01,E0107,C005,P020,160.0,160,110,50,0
2026-01,E0012,C004,P003,160.0,148,106,42,0
2026-01,E0382,C006,P021,160.0,157,133,24,0
2026-01,E0500,C008,P021,160.0,106,72,34,0
2026-01,E0234,C005,P010,160.0,176,149,27,16
2026-01,E0297,C009,P009,160.0,183,147,36,23
2026-01,E0467,C011,P002,160.0,147,133,14,0
2026-01,E0332,C008,P018,160.0,196,178,18,36
2026-01,E0246,C001,P011,160.0,188,144,44,28
2026-01,E0474,C007,P019,160.0,161,138,23,1
2026-01,E0468,C011,P010,160.0,179,127,52,19
2026-01,E0051,C007,P013,160.0,171,131,40,11
2026-01,E0370,C006,P020,160.0,101,78,23,0
2026-01,E0197,C002,P011,160.0,138,110,28,0
2026-01,E0464,C003,P013,160.0,162,143,19,2
2026-01,E0135,C002,P021,160.0,185,168,17,25
2026-01,E0475,C012,P009,160.0,110,102,8,0
2026-01,E0278,C003,P004,160.0,102,80,22,0
2026-01,E0067,C011,P001,160.0,143,134,9,0
2026-01,E0090,C003,P035,160.0,93,78,15,0
2026-01,E0223,C009,P032,160.0,142,102,40,0
2026-01,E0405,C001,P032,160.0,154,108,46,0
2026-01,E0038,C003,P022,160.0,121,91,30,0
2026-01,E0213,C010,P003,160.0,143,121,22,0
2026-01,E0321,C005,P004,160.0,168,117,51,8
2026-01,E0111,C006,P033,160.0,131,92,39,0
2026-01,E0403,C007,P014,160.0,125,84,41,0
2026-01,E0093,C011,P010,160.0,142,101,41,0
2026-01,E0309,C002,P011,160.0,119,90,29,0
2026-01,E0337,C008,P008,160.0,194,128,66,34
2026-01,E0202,C010,P015,160.0,145,129,16,0
2026-01,E0097,C005,P013,160.0,127,115,12,0
2026-01,E0492,C003,P021,160.0,150,138,12,0
2026-01,E0154,C010,P023,160.0,142,126,16,0
2026-01,E0136,C007,P019,160.0,139,121,18,0
2026-01,E0005,C005,P029,160.0,131,99,32,0
2026-01,E0257,C006,P029,160.0,130,103,27,0
2026-01,E0402,C008,P015,160.0,107,84,23,0
2026-01,E0071,C001,P024,160.0,179,156,23,19
2026-01,E0098,C011,P006,160.0,159,127,32,0
2026-01,E0498,C010,P013,160.0,152,123,29,0
2026-01,E0300,C010,P027,160.0,141,114,27,0
2026-01,E0114,C002,P033,160.0,121,87,34,0
2026-01,E0040,C001,P009,160.0,126,82,44,0
2026-01,E0458,C005,P025,160.0,109,81,28,0
2026-01,E0252,C004,P013,160.0,128,87,41,0
2026-01,E0470,C007,P017,160.0,117,107,10,0
2026-01,E0484,C001,P008,160.0,187,165,22,27
2026-01,E0485,C006,P029,160.0,167,133,34,7
2026-01,E0083,C008,P034,160.0,146,120,26,0
2026-01,E0360,C007,P026,160.0,123,107,16,0
2026-01,E0237,C008,P018,160.0,119,87,32,0
2026-01,E0413,C012,P005,160.0,140,106,34,0
2026-01,E0305,C001,P027,160.0,168,127,41,8
2026-01,E0102,C007,P029,160.0,192,181,11,32
2026-01,E0286,C002,P004,160.0,110,74,36,0
2026-01,E0172,C009,P028,160.0,159,110,49,0
2026-01,E0023,C008,P028,160.0,128,90,38,0
2026-01,E0418,C007,P016,160.0,132,97,35,0
2026-01,E0170,C011,P012,160.0,146,112,34,0
2026-01,E0281,C011,P014,160.0,124,117,7,0
2026-01,E0340,C012,P023,160.0,139,130,9,0
2026-01,E0210,C012,P026,160.0,122,110,12,0
2026-01,E0119,C004,P034,160.0,130,91,39,0
2026-01,E0429,C012,P026,160.0,163,138,25,3
2026-01,E0062,C002,P029,160.0,147,120,27,0
2026-01,E0324,C008,P006,160.0,163,119,44,3
2026-01,E0270,C008,P033,160.0,128,95,33,0
